ALLSKY_SFC_SW_DWN,RH2M,WS2M,T2M,PRECTOTCORR
0.0,73.16,1.84,10.6,0.05
0.0,76.88,1.87,10.11,0.05
0.0,80.82,1.81,9.56,0.0
0.0,84.6,1.74,9.03,0.0
0.0,87.72,1.75,8.6,0.0
0.03,87.14,1.92,8.66,0.0
0.38,73.07,3.24,11.1,0.0
0.89,61.97,2.95,13.61,0.0
1.33,45.14,3.22,17.45,0.0
1.74,29.76,4.28,20.83,0.0
2.21,21.68,4.85,22.84,0.0
2.15,20.27,5.14,23.35,0.0
1.88,20.28,5.32,23.15,0.0
1.38,20.34,5.06,22.44,0.0
0.78,22.33,3.8,20.96,0.0
0.18,36.08,1.68,16.02,0.0
0.0,41.72,1.56,12.89,0.0
0.0,42.88,1.6,11.8,0.0
0.0,44.01,1.66,10.88,0.0
0.0,45.33,1.72,10.06,0.0
0.0,46.88,1.73,9.26,0.0
0.0,48.48,1.75,8.5,0.0
0.0,50.08,1.74,7.8,0.0
0.0,51.48,1.75,7.17,0.0
0.0,52.59,1.79,6.63,0.0
0.0,53.41,1.96,6.22,0.0
0.0,54.3,2.12,5.84,0.0
0.0,56.47,2.02,5.23,0.0
0.0,58.48,1.9,4.6,0.0
0.05,58.25,1.97,4.48,0.0
0.58,47.86,3.26,7.09,0.0
1.27,40.88,2.6,10.05,0.0
1.86,30.98,2.66,14.56,0.0
1.8,19.32,3.86,19.0,0.0
1.82,16.23,3.92,21.04,0.0
1.83,14.91,3.87,22.21,0.0
1.65,14.51,3.76,22.65,0.0
1.25,15.25,3.42,22.16,0.0
0.72,25.88,1.76,19.98,0.0
0.16,38.4,1.23,15.4,0.0
0.0,39.22,1.38,12.95,0.0
0.0,40.97,1.38,11.83,0.0
0.0,42.92,1.39,10.75,0.0
0.0,44.68,1.41,9.76,0.0
0.0,45.99,1.45,8.93,0.0
0.0,47.27,1.45,8.2,0.0
0.0,48.79,1.43,7.5,0.0
0.0,50.43,1.41,6.83,0.0
0.0,52.15,1.41,6.2,0.0
0.0,53.81,1.36,5.6,0.0
0.0,55.27,1.24,5.07,0.0
0.0,55.38,1.15,4.85,0.0
0.0,53.54,1.11,5.1,0.0
0.04,52.47,0.96,5.6,0.0
0.44,46.0,1.09,8.06,0.0
1.01,38.93,0.94,10.3,0.0
1.52,31.43,0.68,14.24,0.0
2.01,19.74,0.76,18.9,0.0
2.18,16.42,1.01,21.05,0.0
2.06,15.62,1.03,21.85,0.0
1.8,15.28,1.01,22.45,0.0
1.3,15.78,0.95,22.23,0.0
0.7,27.21,0.56,20.8,0.0
0.16,29.33,0.76,18.59,0.0
0.0,27.62,0.91,17.43,0.0
0.0,28.57,0.91,16.81,0.0
0.0,30.07,1.05,15.83,0.0
0.0,33.51,1.21,14.38,0.0
0.0,35.56,1.29,13.15,0.0
0.0,36.09,1.32,12.22,0.0
0.0,38.63,1.34,11.28,0.0
0.0,39.3,1.32,10.54,0.0
0.0,39.23,1.29,10.17,0.0
0.0,40.4,1.28,9.53,0.0
0.0,42.2,1.27,8.88,0.0
0.0,43.52,1.24,8.43,0.0
0.0,44.75,1.19,7.98,0.0
0.03,47.53,1.18,7.4,0.0
0.42,45.49,1.32,9.92,0.0
1.03,34.22,1.99,12.56,0.0
1.62,29.75,1.71,15.78,0.0
2.04,21.67,1.83,19.81,0.0
2.16,18.1,1.92,22.14,0.0
2.07,17.69,2.06,22.88,0.0
1.78,17.93,2.2,23.01,0.0
1.28,19.16,2.15,22.58,0.0
0.68,35.82,0.98,20.32,0.0
0.17,39.58,1.19,16.79,0.0
0.0,38.92,1.37,14.94,0.0
0.0,40.66,1.38,13.86,0.0
0.0,41.96,1.39,12.96,0.0
0.0,43.99,1.4,11.97,0.0
0.0,46.49,1.4,10.94,0.0
0.0,48.65,1.43,10.1,0.0
0.0,50.53,1.43,9.37,0.0
